study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	median	mean	mean_pm	min	max	cv	sd	se	unit	comments
Heise2015	NA	all	10.0	HCTZ25,EMP25	fractional excretion	torasemide	urine	LC MS/MS	NA	24.0	hr	NA	21.8	NA	NA	NA	32.0	3.2	1.01192885125388	percent	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	clearance_renal	torasemide	urine	LC MS/MS	NA	NA	NA	NA	14.0	NA	NA	NA	42.4	4.24	1.34080572791139	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	mrt	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	3.1	NA	NA	NA	15.8	1.58	0.499639870306604	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	oral clearance	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	62.7	NA	NA	NA	15.7	1.57	0.496477592646436	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	vd_ss	torasemide	plasma	LC MS/MS	NA	NA	NA	NA	24.7	NA	NA	NA	19.1	1.91	0.603995033092161	l	NA
Heise2015	NA	all	10.0	HCTZ25	auc measurement	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	75.7	NA	NA	NA	16.4	1.64	0.518613536267614	nmol*h/l	NA
Heise2015	NA	all	10.0	HCTZ25	muliple_dosing_cmax	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	43.7	NA	NA	NA	25.0	2.5	0.790569415042095	nmol/l	NA
Heise2015	NA	all	10.0	HCTZ25	tmax	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	0.5	NA	NA	0.5	1.5	NA	NA	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25	thalf	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	2.6	NA	NA	NA	24.5	2.45	0.774758026741253	hr	NA
Heise2015	NA	all	10.0	HCTZ25	fractional excretion	torasemide-M1	urine	LC MS/MS	NA	24.0	hr	NA	18.8	NA	NA	NA	20.5	2.05	0.648266920334518	percent	NA
Heise2015	NA	all	10.0	HCTZ25	clearance_renal	torasemide-M1	urine	LC MS/MS	NA	NA	NA	NA	211.0	NA	NA	NA	24.6	2.46	0.777920304401421	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25	mrt	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	2.4	NA	NA	NA	25.2	2.52	0.796893970362432	hr	NA
Heise2015	NA	all	10.0	HCTZ25	oral clearance	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	1130.0	NA	NA	NA	15.2	1.52	0.480666204345594	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25	vd_ss	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	244.0	NA	NA	NA	20.4	2.04	0.645104642674349	l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	auc measurement	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	79.2	NA	NA	NA	17.4	1.74	0.550236312869298	nmol*h/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	muliple_dosing_cmax	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	44.4	NA	NA	NA	18.0	1.8	0.569209978830308	nmol/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	tmax	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	0.5	NA	NA	0.5	1.0	NA	NA	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	thalf	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	2.5	NA	NA	NA	28.4	2.84	0.89808685548782	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	fractional excretion	torasemide-M1	urine	LC MS/MS	NA	24.0	hr	NA	17.0	NA	NA	NA	32.3	3.23	1.02141568423439	percent	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	clearance_renal	torasemide-M1	urine	LC MS/MS	NA	NA	NA	NA	185.0	NA	NA	NA	37.3	3.73	1.17952956724281	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	mrt	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	2.3	NA	NA	NA	19.3	1.93	0.610319588412497	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	oral clearance	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	1080.0	NA	NA	NA	17.6	1.76	0.556560868189635	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	vd_ss	torasemide-M1	plasma	LC MS/MS	NA	NA	NA	NA	230.0	NA	NA	NA	28.4	2.84	0.89808685548782	l	NA
Heise2015	NA	all	10.0	HCTZ25	auc measurement	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	41.5	NA	NA	NA	23.1	2.31	0.730486139498896	nmol*h/l	NA
Heise2015	NA	all	10.0	HCTZ25	muliple_dosing_cmax	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	8.6	NA	NA	NA	12.7	1.27	0.401609262841384	nmol/l	NA
Heise2015	NA	all	10.0	HCTZ25	tmax	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	1.5	NA	NA	1.0	2.0	NA	NA	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25	thalf	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	3.7	NA	NA	NA	21.8	2.18	0.689376529916707	hr	NA
Heise2015	NA	all	10.0	HCTZ25	fractional excretion	torasemide-M3	urine	LC MS/MS	NA	24.0	hr	NA	3.09	NA	NA	NA	9.98	0.998	0.315595310484804	percent	NA
Heise2015	NA	all	10.0	HCTZ25	clearance_renal	torasemide-M3	urine	LC MS/MS	NA	NA	NA	NA	65.1	NA	NA	NA	27.3	2.73	0.863301801225968	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25	mrt	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	5.3	NA	NA	NA	22.2	2.22	0.70202564055738	hr	NA
Heise2015	NA	all	10.0	HCTZ25	oral clearance	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	2110.0	NA	NA	NA	23.9	2.39	0.755784360780243	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25	vd_ss	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	653.0	NA	NA	NA	20.3	2.03	0.641942365014181	l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	auc measurement	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	42.4	NA	NA	NA	17.9	1.79	0.56604770117014	nmol*h/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	muliple_dosing_cmax	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	8.9	NA	NA	NA	17.1	1.71	0.540749479888793	nmol/l	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	tmax	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	1.5	NA	NA	1.0	2.0	NA	NA	NA	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	thalf	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	3.8	NA	NA	NA	25.3	2.53	0.8000562480226	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	fractional excretion	torasemide-M3	urine	LC MS/MS	NA	24.0	hr	NA	2.89	NA	NA	NA	17.5	1.75	0.553398590529466	percent	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	clearance_renal	torasemide-M3	urine	LC MS/MS	NA	NA	NA	NA	58.9	NA	NA	NA	26.6	2.66	0.841165857604789	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	mrt	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	5.3	NA	NA	NA	21.6	2.16	0.68305197459637	hr	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	oral clearance	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	2020.0	NA	NA	NA	18.0	1.8	0.569209978830308	ml/min	NA
Heise2015	NA	all	10.0	HCTZ25,EMP25	vd_ss	torasemide-M3	plasma	LC MS/MS	NA	NA	NA	NA	652.0	NA	NA	NA	30.9	3.09	0.977143796992029	l	NA
